TRANSACTION_DATE,TRANSACTION_TYPE,EXPENSE,AMOUNT,CURRENCY
20.10.2018,credit,lotery app,20,EUR
20.10.2018,debit,paypal,-20.99,EUR
19.10.2018,debit,supermarket,-54.58,EUR
19.10.2018,debit,bar,-10,EUR
19.10.2018,debit,bar,-78.5,EUR
16.10.2018,debit,lottery,-50.5,EUR
16.10.2018,debit,lottery,-1.75,EUR
16.10.2018,debit,internet,-38.89,EUR
16.10.2018,debit,lottery,-1.7,EUR
16.10.2018,debit,online learning,-28.74,EUR
15.10.2018,debit,paypal,-220.08,EUR
14.10.2018,debit,gas station,-44.67,EUR
13.10.2018,credit,lottery,0.01,EUR
13.10.2018,debit,netflix,-11.69,EUR
12.10.2018,debit,supermarket,-76.94,EUR
12.10.2018,transfer,money transfer,-8,EUR
12.10.2018,debit,paypal,-12.99,EUR
12.10.2018,debit,paypal,-24.99,EUR
09.10.2018,Cash Deposit/Withdrawal,cash withdrawal,-100,EUR
08.10.2018,debit,supermarket,-6.94,EUR
07.10.2018,debit,gas station,-44.79,EUR
05.10.2018,transfer,money transfer,-20,EUR
05.10.2018,debit,supermarket,-45.28,EUR
05.10.2018,debit,bar,-6,EUR
05.10.2018,debit,paypal,-16.94,EUR
02.10.2018,transfer,rent,-1490,EUR
02.10.2018,debit,health insurance,-45,EUR
02.10.2018,debit,health insurance,-390,EUR
02.10.2018,debit,paypal,-20.68,EUR
01.10.2018,debit,gas station,-47.94,EUR
01.10.2018,debit,loan,-350.56,EUR
01.10.2018,debit,taxes,-52.5,EUR
01.10.2018,debit,paypal,-1.99,EUR
01.10.2018,debit,public transportation ,-87.2,EUR
01.10.2018,debit,gas station,-27.05,EUR
01.10.2018,debit,gas,-59,EUR
01.10.2018,debit,gym,-15,EUR
01.10.2018,debit,car rate,-350,EUR
01.10.2018,debit,loan,-205.52,EUR
01.10.2018,debit,electricity,-44,EUR
30.09.2018,interest/charges,interest,-48.67,EUR
30.09.2018,interest/charges,interest,-0.8,EUR
30.09.2018,debit,paypal,-4.49,EUR
29.09.2018,credit,bonus,607.88,EUR
29.09.2018,credit,income,2870.44,EUR
29.09.2018,debit,paypal,-8.74,EUR
29.09.2018,debit,spotify,-9.74,EUR
29.09.2018,debit,paypal,-22.04,EUR
28.09.2018,debit,supermarket,-52.71,EUR
28.09.2018,transfer,money transfer,-8,EUR
28.09.2018,debit,supermarket,-69.52,EUR
28.09.2018,debit,paypal,-9.99,EUR
28.09.2018,debit,telephone,-35.75,EUR
28.09.2018,debit,credit card,-1045.19,EUR
24.09.2018,debit,gas station,-48.17,EUR
23.09.2018,debit,paypal,-119.98,EUR
22.09.2018,debit,takeaway food,-20.99,EUR
22.09.2018,debit,paypal,-1.8,EUR
22.09.2018,debit,paypal,-1.8,EUR
21.09.2018,Cash Deposit/Withdrawal,cash withdrawal,-50,EUR
21.09.2018,debit,coffee,-18,EUR
21.09.2018,debit,gas station,-36.86,EUR
21.09.2018,transfer,money transfer,-22.17,EUR
18.09.2018,debit,gas station,-44.86,EUR
18.09.2018,debit,coffee,-6.85,BRL
18.09.2018,debit,coffee,-5,BRL
18.09.2018,debit,paypal,-20.99,EUR
17.09.2018,transfer,money transfer,-20.14,BRL
16.09.2018,transfer,fine,-25,BRL
16.09.2018,debit,gas station,-54.15,BRL
16.09.2018,debit,online learning,-28.74,EUR
15.09.2018,debit,paypal,-22.93,EUR
15.09.2018,debit,internet,-38.89,EUR
15.09.2018,debit,takeaway food,-20.8,BRL
15.09.2018,debit,takeaway food,-14.99,BRL
11.09.2018,transfer,money transfer,-15,BRL
11.09.2018,debit,netflix,-11.69,EUR
10.09.2018,debit,paypal,-12.99,EUR
10.09.2018,debit,paypal,-24.99,EUR
09.09.2018,debit,gas station,-53.67,BRL
08.09.2018,debit,paypal,-47.44,EUR
07.09.2018,debit,money withdrawal,-150.97,EUR
07.09.2018,credit,money transfer,189.43,EUR
07.09.2018,debit,takeaway food,-18,EUR
03.09.2018,debit,paypal,-16.66,EUR
02.09.2018,debit,gas station,-54.27,EUR
02.09.2018,debit,car insurance,-674.65,EUR
01.09.2018,debit,parking,-8.8,EUR
01.09.2018,debit,paypal,-4.43,EUR
01.09.2018,debit,loan,-149.1,EUR
01.09.2018,debit,takeaway food,-14.99,EUR
01.09.2018,debit,gas station,-27.05,EUR
01.09.2018,debit,health insurance,-390,EUR
01.09.2018,debit,gym,-15,EUR
01.09.2018,debit,gas,-59,EUR
01.09.2018,debit,health insurance,-45,EUR
01.09.2018,debit,paypal,-1.99,EUR
01.09.2018,debit,loan,-350.56,EUR
01.09.2018,debit,takeaway food,-19.2,EUR
01.09.2018,debit,paypal,-21.04,EUR
01.09.2018,debit,public transportation ,-87.2,EUR
01.09.2018,debit,car rate,-350,EUR
01.09.2018,debit,electricity,-44,EUR
31.08.2018,interest/charges,interest,-0.8,EUR
31.08.2018,transfer,rent,-1490,EUR
31.08.2018,debit,paypal,-50,EUR
31.08.2018,debit,credit card,-443.3,EUR
31.08.2018,debit,takeaway food,-14.49,EUR
28.08.2018,credit,income,7858.38,EUR
28.08.2018,debit,spotify,-9.74,EUR
28.08.2018,debit,paypal,-22.04,EUR
27.08.2018,debit,telephone,-115.74,EUR
26.08.2018,credit,tax return,2545,EUR
26.08.2018,Cash Deposit/Withdrawal,cash withdrawal,-40,EUR
26.08.2018,debit,gas station,-39.97,EUR
26.08.2018,transfer,money transfer,-11.2,EUR
26.08.2018,debit,paypal,-9.99,EUR
26.08.2018,debit,paypal,-83.4,EUR
25.08.2018,debit,takeaway food,-22,EUR
25.08.2018,debit,takeaway food,-14.99,EUR
25.08.2018,debit,takeaway food,-15.99,EUR
21.08.2018,credit,bonus,528,EUR
21.08.2018,debit,takeaway food,-11,EUR
20.08.2018,Cash Deposit/Withdrawal,cash withdrawal,-75,EUR
20.08.2018,debit,gas station,-55.31,EUR
20.08.2018,debit,paypal,-4.49,EUR
20.08.2018,debit,paypal,-15.99,EUR
20.08.2018,debit,paypal,-6.24,EUR
20.08.2018,debit,paypal,-21.99,EUR
20.08.2018,debit,paypal,-23.09,EUR
19.08.2018,transfer,money transfer,-13,EUR
18.08.2018,debit,internet,-38.89,EUR
18.08.2018,debit,online learning,-28.74,EUR
18.08.2018,debit,takeaway food,-26.3,EUR
18.08.2018,debit,paypal,-20.99,EUR
13.08.2018,debit,paypal,-129,EUR
12.08.2018,debit,paypal,-23.99,EUR
11.08.2018,debit,paypal,-24.99,EUR
11.08.2018,debit,takeaway food,-22.5,EUR
11.08.2018,debit,netflix,-11.69,EUR
11.08.2018,debit,takeaway food,-15.05,EUR
11.08.2018,debit,paypal,-12.99,EUR
11.08.2018,debit,takeaway food,-26.3,EUR
10.08.2018,debit,gas station,-53.73,EUR
10.08.2018,debit,restaurant,-11.4,EUR
10.08.2018,Cash Deposit/Withdrawal,cash withdrawal,-45,EUR
10.08.2018,debit,takeaway food,-19.49,EUR
07.08.2018,debit,gas station,-8.99,EUR
06.08.2018,debit,paypal,-39.56,EUR
06.08.2018,debit,restaurant,-34.99,EUR
